time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),Action
9.843,-0.835,8.8131,1.2763,8.943999999999999,Walking
9.852,-1.2886,8.6597,-2.4452,9.09,Walking
9.859,-3.0535,6.1482,-3.4064,7.662999999999999,Walking
9.869,-4.0541,4.056,-1.7368,5.992000000000001,Walking
9.881,-4.4544,2.663,0.1219,5.191,Walking
9.889,-4.2356,1.1859,0.7273,4.458,Walking
9.901,-3.2679,-0.1088,0.4601,3.302,Walking
9.907,-1.77,-0.991,-0.6913,2.1430000000000002,Walking
9.922,-0.3566,-1.5816,-0.9044,1.8559999999999999,Walking
9.954,0.4203,-2.0901,-0.6499,2.229,Walking
9.957,0.9151,-2.4693,-0.1947,2.641,Walking
9.959,1.5571,-2.6496,0.3698,3.095,Walking
9.961,1.8904,-2.6146,0.7756,3.318,Walking
9.972,2.4274,-2.5945,1.2191,3.7560000000000002,Walking
9.977,2.6562,-2.6126,1.126,3.892,Walking
9.991,2.4068,-2.4113,0.9832,3.5460000000000003,Walking
10.005,1.9251,-1.4454,0.854,2.5540000000000003,Walking
10.009,1.527,-0.8521,0.6986,1.883,Walking
10.061,1.1053,-0.222,0.2948,1.165,Walking
10.062,0.577,0.0231,0.2145,0.616,Walking
10.062,0.0779,0.0629,0.3299,0.345,Walking
10.065,-0.3134,-0.0647,0.6016,0.6809999999999999,Walking
10.066,-0.5731,-0.0634,0.695,0.903,Walking
10.073,-0.7075,-0.0449,0.5823,0.917,Walking
10.074,-0.7075,-0.0449,0.5823,0.917,Walking
10.078,-0.8401,-0.0389,0.4722,0.965,Walking
10.09,-0.92,0.1674,0.4425,1.035,Walking
10.104,-0.9408,0.3522,0.3335,1.058,Walking
10.11,-1.0784,0.2164,0.2912,1.138,Walking
10.133,-0.8346,0.206,0.4987,0.9940000000000001,Walking
10.134,-1.1474,0.3187,0.3702,1.247,Walking
10.143,-1.488,0.3139,0.6477,1.653,Walking
10.144,-1.488,0.3139,0.6477,1.653,Walking
10.149,-1.0759,0.4873,0.6091,1.329,Walking
10.161,-1.3356,0.5656,0.3026,1.482,Walking
10.17,-1.3147,0.6657,0.4146,1.531,Walking
10.18,-0.6794,0.8019,0.3841,1.119,Walking
10.192,-0.2775,0.6663,0.1661,0.741,Walking
10.208,0.3259,0.407,0.1926,0.556,Walking
10.212,0.6068,-0.166,0.1685,0.6509999999999999,Walking
10.25,0.8699,-0.7739,0.3572,1.218,Walking
10.253,1.433,-1.2133,0.4495,1.931,Walking
10.254,1.6742,-1.6475,0.4865,2.399,Walking
10.256,1.9602,-1.9229,0.46,2.784,Walking
10.26,2.1392,-1.6488,0.417,2.733,Walking
10.272,2.3312,-1.545,0.3692,2.821,Walking
10.28,2.6329,-1.6157,0.9442,3.23,Walking
10.29,2.8285,-1.7296,1.1762,3.5180000000000002,Walking
10.304,2.5218,-1.8003,1.2511,3.341,Walking
10.31,2.001,-1.4065,1.5258,2.883,Walking
10.343,1.0657,-0.5307,1.6866,2.064,Walking
10.344,0.4436,0.555,1.6755,1.82,Walking
10.345,-0.1179,1.0657,1.5116,1.8530000000000002,Walking
10.353,-0.7792,0.8455,1.2937,1.7309999999999999,Walking
10.36,-1.2228,0.3495,1.1623,1.723,Walking
10.37,-1.4442,0.7077,0.9395,1.8630000000000002,Walking
10.381,-0.6756,1.2883,-0.0399,1.455,Walking
10.39,-0.0425,1.5922,-1.8237,2.421,Walking
10.404,0.8194,1.9528,-4.114,4.627,Walking
10.408,1.5475,2.8877,-5.2047,6.15,Walking
10.435,1.8412,3.7697,-5.181,6.667000000000001,Walking
10.436,2.3779,4.8372,-4.2074,6.837999999999999,Walking
10.44,2.8898,4.8542,-2.8884,6.345,Walking
10.451,2.1926,3.0566,-0.8188,3.85,Walking
10.46,2.1571,1.3641,-0.3791,2.58,Walking
10.472,2.0009,0.8224,-0.6762,2.267,Walking
10.478,1.3804,0.4184,-0.8716,1.685,Walking
10.492,1.2256,0.3607,-0.6571,1.4369999999999998,Walking
10.509,0.9763,0.0186,-0.9218,1.3430000000000002,Walking
